l_orderkey|revenue|o_orderdate|o_shippriority
1260007|310574.45|1995-03-12|0
2979175|309437.96|1995-02-27|0
804932|309359.66|1995-03-05|0
4175075|309272.51|1995-02-09|0
580033|308706.32|1995-03-02|0
1834755|308449.58|1995-03-09|0
5346629|308421.56|1995-02-19|0
4373991|308007.35|1995-03-01|0
1288001|307823.95|1995-02-27|0
3393030|307407.99|1995-02-18|0
2509287|306927.08|1995-03-07|0
169668|305965.78|1995-01-12|0
130787|305761.80|1995-02-03|0
1160455|304779.53|1995-03-04|0
2175907|304254.97|1995-03-14|0
3194598|304232.91|1995-03-05|0
1616518|303848.64|1995-02-25|0
360804|303816.94|1995-02-23|0
1384993|303763.07|1995-02-14|0
2419904|303741.78|1995-03-01|0
3721319|303709.67|1995-02-10|0
5353574|303479.98|1995-03-14|0
167618|302207.92|1995-03-13|0
5620545|301917.71|1995-03-07|0
4961984|301849.84|1995-03-08|0
5664482|301842.01|1995-03-14|0
1357093|301354.79|1995-03-08|0
3079552|301324.32|1995-02-13|0
159809|301135.50|1995-02-08|0
2889126|299665.22|1995-03-06|0
3461635|299432.75|1995-02-18|0
1908865|298970.54|1995-03-06|0
1565188|298505.80|1995-03-09|0
4955012|298189.57|1995-03-04|0
2142407|298121.40|1995-02-03|0
1730400|297692.70|1995-02-13|0
1998626|297557.59|1995-03-08|0
3761543|297282.41|1995-03-12|0
1190215|296768.81|1995-02-26|0
5173316|296349.79|1995-03-02|0
4163941|295975.12|1995-01-14|0
255361|295962.00|1995-02-22|0
669248|295813.23|1995-03-11|0
5151010|295559.48|1995-01-22|0
762690|295530.74|1995-02-13|0
3052608|295329.35|1995-03-13|0
4280001|295193.28|1995-03-06|0
5144481|295185.12|1995-03-03|0
749472|295047.73|1995-02-21|0
4003234|294800.45|1995-03-03|0
738822|294539.38|1995-02-04|0
353922|294533.83|1995-03-02|0
3469990|294484.35|1995-03-12|0
4164994|294164.40|1995-03-01|0
4187264|293884.13|1995-01-27|0
2743844|293431.59|1995-03-04|0
2282054|292793.03|1995-02-17|0
3866279|292304.96|1995-02-15|0
4460578|292275.33|1995-03-14|0
3887173|292150.03|1995-03-08|0
771396|291656.69|1995-01-30|0
1478115|291611.76|1995-02-05|0
654400|291494.32|1995-02-28|0
783522|291359.40|1995-02-28|0
4093925|291134.97|1995-03-10|0
132774|291101.50|1995-02-27|0
5742880|290300.22|1995-03-11|0
834758|290157.99|1995-02-15|0
3686211|289846.05|1995-03-02|0
1019200|289795.72|1995-03-12|0
980484|289655.20|1995-01-16|0
429506|289544.82|1995-02-02|0
5206948|288720.40|1995-03-14|0
5423746|288680.65|1995-03-09|0
4577507|288512.61|1995-03-03|0
4929858|287901.29|1995-03-02|0
1223490|287800.82|1995-03-13|0
1566307|287773.98|1995-03-07|0
5105793|287589.68|1995-03-05|0
5775234|287435.18|1995-03-07|0
3731557|286645.73|1995-02-28|0
3329894|286565.98|1995-03-13|0
1405573|286527.06|1995-02-09|0
2505123|286450.59|1995-01-20|0
3146982|286368.23|1995-03-02|0
1422343|286227.67|1995-02-03|0
5782213|286179.33|1995-02-24|0
1173478|286107.23|1995-02-21|0
2074628|285940.13|1995-03-07|0
4273255|285933.77|1995-03-09|0
3555392|285860.81|1995-03-08|0
992583|285724.21|1995-02-09|0
1899748|284810.30|1995-02-26|0
4898983|284622.84|1995-01-30|0
3862048|284487.41|1995-02-28|0
738627|284276.53|1995-03-14|0
4860007|284253.27|1995-03-13|0
250530|283997.59|1995-03-10|0
2546112|283920.40|1995-03-14|0
3298275|283432.23|1995-01-19|0
1510918|282989.74|1995-03-10|0
3732263|282703.96|1995-03-03|0
1966019|282490.81|1995-02-27|0
1919970|282367.04|1995-03-01|0
4640611|282335.55|1995-03-14|0
287552|282272.82|1995-02-28|0
4515846|282216.93|1995-02-18|0
2758273|282180.81|1995-02-26|0
265796|282148.44|1995-02-24|0
4110148|281808.78|1995-03-02|0
2599461|281471.05|1995-01-31|0
1295138|281469.38|1995-03-07|0
3283687|281049.95|1995-02-19|0
1668388|280820.83|1995-01-09|0
4957286|280813.11|1995-03-10|0
2254055|280648.96|1995-02-01|0
2873955|280471.47|1995-02-18|0
4816839|280439.53|1995-01-29|0
4044166|280261.65|1995-02-08|0
1500640|280220.87|1995-03-13|0
5587686|279768.62|1995-03-07|0
2666118|279757.53|1995-03-12|0
3736864|279724.99|1995-02-21|0
3421764|279555.55|1995-01-14|0
1187457|279287.39|1995-03-11|0
5910081|279185.25|1995-02-26|0
5644551|279105.10|1995-02-25|0
2542215|278628.26|1995-02-26|0
50145|278324.87|1995-02-27|0
1268930|278276.75|1995-03-08|0
761059|278207.96|1995-03-14|0
5481442|278128.04|1995-03-12|0
5658148|277926.94|1995-02-27|0
2023911|277690.99|1995-03-11|0
539623|277298.00|1995-02-20|0
2548260|277164.05|1995-02-15|0
3766402|277106.74|1995-03-10|0
5386596|276910.05|1995-03-06|0
5252897|276826.97|1995-02-24|0
2644067|276640.68|1995-03-04|0
4042950|276388.54|1995-03-03|0
1244295|276055.87|1995-02-03|0
3205667|275621.04|1995-02-22|0
1927808|275552.66|1995-02-24|0
94432|275486.59|1995-01-19|0
3549474|275414.07|1994-12-24|0
1218788|275387.92|1995-03-08|0
2051136|275116.01|1995-03-08|0
1871008|275079.24|1995-01-22|0
1157382|274637.91|1995-03-02|0
3587623|274225.13|1995-02-20|0
1609059|274212.43|1995-02-21|0
553731|274195.77|1995-02-15|0
2709571|273687.38|1994-12-10|0
1786272|273640.19|1995-02-08|0
4142853|273617.72|1995-02-16|0
3612322|273575.27|1994-12-27|0
4421860|273565.76|1995-02-27|0
2974694|273386.35|1995-03-14|0
47525|273370.90|1995-03-04|0
2677248|273330.88|1995-03-13|0
1074752|273277.65|1995-02-02|0
1162147|272872.30|1995-03-03|0
4258912|272603.02|1995-02-23|0
4841733|272455.85|1995-01-29|0
5807460|272259.21|1994-12-22|0
213314|272195.98|1995-02-05|0
4200932|272125.30|1995-03-03|0
3343776|272105.96|1995-03-14|0
597699|271975.53|1995-02-01|0
1334496|271914.23|1995-02-24|0
5419715|271744.20|1995-03-07|0
5738343|270598.79|1995-01-19|0
5881890|270532.74|1995-02-15|0
97830|270217.08|1995-03-04|0
431106|270154.69|1995-02-23|0
2643618|270131.85|1995-03-10|0
108421|270064.08|1995-01-30|0
3702215|269719.22|1995-01-25|0
5780518|269500.86|1995-01-03|0
1073859|269484.18|1995-03-09|0
4711269|269326.78|1995-03-11|0
46115|269115.90|1995-03-03|0
1883879|268978.07|1994-12-30|0
5122532|268923.63|1995-02-24|0
2135110|268888.03|1995-03-07|0
3127076|268869.89|1995-03-13|0
755745|268863.73|1995-02-22|0
1637|268170.64|1995-02-08|0
5290240|267961.85|1995-02-22|0
3411973|267770.31|1995-03-13|0
1408578|267751.61|1995-02-07|0
2404449|267687.73|1995-03-10|0
988226|267681.02|1995-02-01|0
2958049|267579.73|1995-02-20|0
3054020|267530.58|1995-01-13|0
2142787|267473.68|1995-02-26|0
662340|267322.89|1995-02-26|0
1174050|267275.46|1995-01-31|0
800033|267217.35|1995-01-31|0
4575140|266925.63|1994-12-26|0
98279|266789.35|1995-03-09|0
4208644|266743.41|1995-02-05|0
2136006|266576.95|1995-02-14|0
2507781|266403.39|1995-02-11|0
2393793|266188.26|1995-03-09|0
2806278|266051.02|1995-02-26|0
1635653|265897.43|1995-02-14|0
5084260|265895.49|1995-01-29|0
5717728|265746.55|1995-03-08|0
5556450|265432.30|1995-02-27|0
2284672|265320.69|1995-03-14|0
3640386|265189.42|1995-02-05|0
1162563|265107.14|1995-02-15|0
165732|264712.23|1995-03-11|0
4651745|264661.73|1995-03-08|0
5682950|264633.12|1995-03-05|0
4858147|264620.84|1995-03-13|0
4766118|264360.96|1995-02-10|0
220834|264297.68|1995-02-27|0
5785893|263708.49|1995-03-13|0
1929699|263499.60|1995-03-09|0
2017793|263232.20|1995-02-01|0
2376358|263219.38|1995-02-18|0
1402247|263154.00|1995-03-03|0
118151|263037.00|1995-02-23|0
5935588|263023.77|1995-01-30|0
3282660|262892.01|1995-02-28|0
4956800|262865.72|1995-02-10|0
3940163|262849.50|1995-02-26|0
3978503|262757.74|1995-02-09|0
5882310|262686.38|1995-03-14|0
1474848|262524.57|1995-03-12|0
2440324|262358.68|1995-03-02|0
4231170|262172.84|1995-02-22|0
3889248|262056.92|1995-02-28|0
80549|261961.48|1995-01-23|0
874947|261861.64|1995-02-11|0
800578|261674.42|1995-02-27|0
5783809|261649.10|1995-02-01|0
3823045|261624.06|1995-03-05|0
283364|261547.52|1995-02-23|0
1612929|261463.86|1995-01-22|0
299014|261195.44|1995-03-04|0
93671|261152.21|1995-03-03|0
3379364|261138.29|1995-01-20|0
5216199|261062.76|1995-02-24|0
2978438|261060.51|1995-03-10|0
1865089|261042.29|1995-02-27|0
3528001|261027.08|1995-02-24|0
1197607|261019.00|1995-03-04|0
2917795|260768.51|1995-02-28|0
775847|260746.05|1995-01-25|0
4420802|260648.93|1995-02-05|0
1878628|260272.32|1995-03-05|0
1741028|260194.63|1995-03-14|0
2097025|260092.75|1995-02-28|0
3425510|259928.19|1995-03-10|0
3676707|259872.96|1995-02-05|0
4541217|259375.01|1995-02-16|0
4684353|258994.59|1995-02-27|0
166757|258693.82|1995-02-28|0
4925223|258321.36|1995-02-22|0
1752642|258287.17|1995-02-20|0
1214981|258229.91|1994-12-31|0
859237|258145.35|1995-02-13|0
2688102|258102.19|1995-02-08|0
5316610|258069.21|1995-03-12|0
4176454|257955.39|1995-03-13|0
5667684|257952.63|1995-01-31|0
5156999|257694.76|1995-03-01|0
1777986|257648.89|1995-02-23|0
5314147|257558.26|1995-02-25|0
4703399|257339.95|1995-02-15|0
187427|257236.52|1995-03-05|0
5659045|257129.34|1995-03-11|0
1919462|256982.29|1995-02-19|0
1314567|256858.28|1995-02-09|0
587808|256816.73|1995-02-10|0
647234|256606.31|1995-02-05|0
1070694|256582.03|1995-03-09|0
1728355|256540.24|1995-01-20|0
922179|256535.84|1995-03-08|0
3202176|256159.25|1995-03-13|0
2918466|256154.94|1995-01-31|0
442627|255896.46|1995-03-06|0
3292263|255713.75|1995-02-25|0
2578467|255507.94|1995-03-13|0
4905699|255469.33|1995-02-26|0
2258208|255412.05|1995-01-28|0
295360|255278.25|1995-02-25|0
4115200|255254.83|1995-02-28|0
5654468|255052.87|1995-03-08|0
1601410|254977.29|1995-02-26|0
1189703|254727.38|1995-03-09|0
2184677|254452.37|1995-03-06|0
5594181|254402.28|1995-02-16|0
2083271|254264.96|1995-02-26|0
4990337|254093.72|1995-01-23|0
1111526|254057.40|1995-01-31|0
5941124|254030.13|1995-03-12|0
3024609|253963.53|1995-03-10|0
3775684|253944.27|1995-02-11|0
4369505|253869.71|1995-02-14|0
1444418|253758.96|1995-02-10|0
5874595|253719.31|1995-03-07|0
1039200|253668.09|1995-03-08|0
3708739|253398.17|1995-02-24|0
94113|253351.89|1995-03-11|0
155078|253319.60|1995-02-07|0
3585766|253220.29|1995-01-25|0
3422240|252805.00|1995-02-28|0
1288418|252647.82|1995-02-11|0
3561092|252592.02|1995-01-05|0
2010021|252521.38|1995-02-17|0
4707363|252477.37|1995-01-19|0
5683846|252358.34|1995-02-14|0
1665924|252330.21|1995-03-09|0
325444|252320.29|1995-02-24|0
2357312|252192.12|1995-03-09|0
9696|252014.55|1995-02-20|0
987175|251821.03|1995-02-14|0
842820|251673.59|1995-01-21|0
5812608|251652.71|1995-02-20|0
1077281|251600.02|1995-02-20|0
4444610|251581.13|1995-02-01|0
3471298|251346.03|1995-02-10|0
2775716|251322.65|1995-01-30|0
3917859|250959.05|1995-03-07|0
1294563|250957.38|1995-02-06|0
1447879|250755.72|1995-01-30|0
2613473|250748.96|1995-02-17|0
5101958|250476.37|1995-02-20|0
5302979|250393.69|1995-01-23|0
2604101|250314.51|1995-02-06|0
1602758|250300.50|1995-02-10|0
3370759|250269.08|1995-02-26|0
3187106|250238.89|1995-03-11|0
1546020|250168.87|1995-02-20|0
5781634|250016.30|1995-01-14|0
4127300|249970.04|1995-01-31|0
4893383|249637.90|1995-02-06|0
2026912|249465.49|1995-01-03|0
3956899|249461.53|1995-02-18|0
2409381|249271.68|1995-01-18|0
5812005|249232.27|1995-01-22|0
1386055|249231.78|1995-02-23|0
3214051|249135.10|1995-02-22|0
4392739|249078.33|1995-02-17|0
2524006|249028.63|1995-02-20|0
2049219|248553.96|1995-02-08|0
3690496|248516.72|1995-01-28|0
680549|248415.63|1994-12-25|0
4420645|248397.28|1995-02-25|0
645606|248389.16|1995-02-18|0
4663104|248227.23|1995-01-07|0
4860327|247840.06|1995-02-22|0
1169669|247806.16|1995-01-29|0
5130945|247794.43|1995-01-21|0
3944455|247602.30|1995-02-10|0
4487652|247516.71|1995-02-22|0
1202374|247200.29|1995-01-29|0
3222433|247008.65|1995-03-10|0
5225061|246964.24|1995-01-31|0
1676260|246886.91|1995-02-27|0
3124167|246835.11|1995-03-06|0
4203942|246477.80|1995-02-03|0
1216293|246214.01|1995-02-04|0
5116004|245978.79|1995-01-07|0
3900420|245811.38|1995-03-02|0
2168225|245769.05|1995-02-02|0
3699175|245376.60|1995-02-23|0
3587046|245067.26|1995-01-14|0
2327364|244910.38|1994-12-27|0
4838690|244736.66|1995-03-14|0
2143879|244725.20|1995-03-07|0
625062|244554.12|1995-03-03|0
2675876|244553.71|1995-02-19|0
3934694|244460.87|1995-01-31|0
4290055|244400.77|1995-02-13|0
3695556|244323.46|1995-02-06|0
4748868|244199.18|1995-02-05|0
2453156|244164.60|1995-03-13|0
5323205|244120.94|1995-02-01|0
4487427|244034.35|1995-03-04|0
4762789|243901.82|1995-03-10|0
5541572|243850.25|1995-01-31|0
5730566|243816.05|1995-03-03|0
2927041|243720.28|1995-01-31|0
4890279|243482.98|1995-02-27|0
1057863|243386.32|1995-02-08|0
617315|243355.23|1995-03-14|0
2457701|243282.08|1995-03-13|0
4226051|243191.05|1995-02-18|0
5157221|242891.61|1995-03-02|0
2594437|242853.21|1995-03-08|0
4123009|242758.69|1995-02-01|0
3383749|242638.96|1995-01-06|0
1593251|242409.62|1995-02-14|0
1139429|242392.16|1995-01-27|0
1324739|242353.18|1995-02-16|0
1555463|242334.57|1995-03-08|0
374308|242214.57|1995-03-12|0
2300645|242181.10|1995-03-07|0
1824388|242091.61|1995-02-08|0
3413251|241989.73|1995-02-09|0
5547458|241630.56|1995-02-06|0
2129029|241597.78|1995-02-11|0
1710564|241581.54|1995-02-16|0
3705571|241526.38|1995-03-12|0
2124163|241438.06|1995-02-19|0
3825446|241273.28|1995-03-10|0
3008577|241090.74|1995-02-24|0
439618|241087.56|1995-03-08|0
1087077|241062.84|1995-02-18|0
846496|240953.79|1995-03-12|0
3679814|240897.57|1995-01-12|0
1039812|240758.91|1995-02-13|0
4383171|240754.22|1995-02-20|0
1168832|240688.26|1995-03-05|0
1229569|240653.59|1995-01-09|0
5663877|240588.50|1995-02-04|0
5938114|240582.09|1995-03-11|0
4090215|240440.48|1995-03-12|0
3309538|240189.62|1995-02-01|0
4701924|240189.07|1995-02-23|0
5905286|240149.22|1995-02-23|0
3800226|240123.00|1995-01-18|0
2375360|240027.06|1995-01-31|0
3746976|239980.86|1995-01-28|0
5437027|239700.27|1995-03-11|0
351329|239374.33|1995-02-25|0
4126693|239283.69|1995-02-24|0
2482208|239250.91|1995-03-13|0
579460|239225.14|1995-02-12|0
4834533|239125.64|1994-12-09|0
2895204|239095.63|1995-02-25|0
5787364|238831.32|1995-02-22|0
426723|238777.56|1995-01-08|0
2444198|238719.43|1995-03-08|0
361954|238668.63|1995-02-27|0
210565|238607.32|1995-02-13|0
3113735|238574.42|1995-02-23|0
1722050|238529.06|1995-02-03|0
5969444|238525.54|1995-02-07|0
4717441|238499.92|1995-01-22|0
5173315|238492.19|1995-01-21|0
148161|238199.03|1995-02-01|0
5144069|238168.23|1994-12-18|0
5464162|238042.79|1995-03-05|0
4795266|237827.36|1995-01-31|0
2803264|237803.18|1995-02-25|0
1160579|237761.20|1995-02-22|0
675808|237689.21|1995-02-28|0
769765|237476.44|1995-02-03|0
2368768|237357.24|1995-02-01|0
3866083|237121.31|1995-02-12|0
3773574|237095.60|1995-01-30|0
4100160|237074.39|1995-01-30|0
5372871|236975.02|1995-02-11|0
3281060|236959.64|1995-02-28|0
5106147|236948.08|1995-03-10|0
4186372|236900.49|1995-03-13|0
4371845|236778.59|1995-03-06|0
5824675|236766.80|1995-02-13|0
1308064|236765.70|1995-03-03|0
4980452|236718.35|1995-03-06|0
3170087|236651.33|1995-02-13|0
5991526|236522.56|1995-02-24|0
2898788|236353.75|1995-02-24|0
2412357|236298.05|1995-03-06|0
2150692|236242.29|1995-02-21|0
1898275|236168.87|1995-01-18|0
3337219|236113.07|1995-03-12|0
5689571|236086.73|1995-02-05|0
4269348|236007.74|1995-02-21|0
5186054|235968.31|1995-03-07|0
3428611|235862.91|1995-02-27|0
5084326|235829.22|1995-03-11|0
2112512|235743.04|1995-03-10|0
2656867|235642.00|1995-03-08|0
720259|235617.84|1995-02-21|0
4184384|235156.13|1995-02-04|0
5324519|234950.65|1995-02-08|0
1406118|234936.38|1995-02-17|0
5198917|234887.73|1995-02-02|0
2882147|234817.45|1995-02-13|0
2852295|234737.66|1995-02-08|0
1533794|234674.85|1995-02-21|0
4712295|234661.25|1995-03-02|0
4263651|234591.70|1995-03-11|0
1289639|234509.17|1995-03-03|0
290566|234467.54|1995-02-13|0
266598|234412.93|1995-01-05|0
1876290|234347.44|1995-02-19|0
5106563|234333.02|1995-02-25|0
2639875|234297.01|1995-01-31|0
299105|233875.79|1994-12-22|0
4735109|233753.40|1995-03-11|0
3161409|233653.96|1995-02-22|0
4435462|233615.15|1995-03-01|0
5055937|233577.70|1995-01-27|0
115334|233446.60|1995-02-17|0
4746496|233412.95|1995-02-22|0
5125474|233091.24|1995-03-10|0
2963269|233012.27|1995-01-05|0
5463687|232832.15|1995-03-13|0
4358822|232452.89|1995-01-20|0
3112354|232405.66|1995-03-04|0
1279910|232398.14|1995-01-31|0
5794114|232390.25|1995-02-05|0
1804801|232367.97|1995-02-21|0
3790817|232299.73|1995-01-30|0
790821|232238.85|1995-02-10|0
463046|232123.95|1995-03-11|0
68644|231929.61|1995-02-01|0
2734599|231595.33|1995-02-27|0
3076612|231455.90|1995-01-31|0
4870564|231177.76|1995-03-14|0
1976802|231147.88|1995-02-28|0
4578528|231030.86|1995-02-24|0
4960359|230919.92|1995-02-08|0
2267782|230778.31|1995-03-04|0
4221889|230634.83|1995-02-21|0
1597475|230614.38|1995-02-02|0
2744962|230608.78|1995-03-05|0
806082|230589.01|1995-02-11|0
3333280|230525.57|1995-02-19|0
3493828|230501.14|1995-02-23|0
2135682|230444.28|1995-02-04|0
40612|230209.11|1995-03-01|0
381284|230202.87|1995-03-13|0
4423877|230185.42|1995-03-02|0
4889122|230020.07|1995-02-25|0
5303680|229925.77|1995-03-02|0
107010|229720.89|1995-02-22|0
109188|229577.16|1995-03-14|0
223045|229533.34|1995-02-18|0
2158215|229327.61|1995-03-05|0
5725056|229163.99|1995-01-08|0
2508931|229063.81|1995-02-27|0
3175972|229040.40|1995-02-24|0
3376672|228946.04|1995-02-27|0
5827649|228899.65|1995-01-21|0
1628743|228889.20|1995-03-07|0
3613379|228860.00|1995-01-19|0
3646080|228810.50|1995-03-04|0
2336161|228657.02|1995-01-25|0
5687140|228643.05|1995-02-02|0
1858370|228542.20|1995-01-29|0
1740419|228525.75|1995-03-02|0
1655588|228436.65|1995-02-24|0
1000005|228314.48|1995-02-06|0
2017088|228311.65|1995-02-14|0
1462497|228295.41|1995-02-04|0
4346467|228293.28|1995-01-11|0
1546947|228287.50|1995-03-10|0
4611877|228246.18|1995-02-23|0
1447009|228233.42|1995-02-12|0
2820614|228211.95|1995-03-02|0
2242470|228187.88|1995-02-22|0
4497665|228047.45|1995-02-14|0
4886113|227778.60|1995-01-22|0
3510597|227518.46|1995-03-04|0
364197|227505.92|1995-02-26|0
842151|227448.75|1995-02-26|0
5299651|227320.39|1995-03-12|0
1886340|227204.03|1995-03-04|0
5404641|227115.82|1995-01-25|0
3099970|227094.24|1995-02-08|0
1286048|227072.66|1995-01-21|0
4813568|227055.91|1995-02-28|0
983556|226979.82|1995-03-01|0
184933|226865.45|1995-01-29|0
4998881|226833.93|1995-02-21|0
2335136|226826.43|1995-03-12|0
1233026|226762.86|1994-12-16|0
434150|226733.42|1995-01-26|0
3572897|226705.28|1995-03-07|0
44418|226569.97|1995-02-01|0
1640678|226531.16|1995-02-17|0
4489058|226409.79|1995-02-25|0
5691014|226244.14|1995-02-27|0
756322|226183.36|1995-02-24|0
4684263|226172.92|1995-02-26|0
4325444|226112.16|1995-02-28|0
1389062|225970.87|1995-03-06|0
1735558|225944.31|1994-12-04|0
4562561|225898.05|1995-02-13|0
1184900|225872.22|1995-02-25|0
958785|225863.12|1995-03-14|0
4313667|225637.14|1995-02-19|0
3631367|225622.65|1995-02-19|0
2626496|225554.01|1995-02-04|0
1979589|225512.71|1995-03-01|0
1322595|225480.55|1995-03-01|0
4069057|225461.92|1995-03-04|0
624229|225360.27|1995-02-11|0
729794|225251.12|1995-03-11|0
1780386|225165.84|1995-02-16|0
4341056|225102.18|1995-02-19|0
4632547|225019.81|1995-03-11|0
4875459|224952.58|1995-02-15|0
5203489|224926.08|1995-02-18|0
1903910|224923.96|1995-02-17|0
4576704|224913.96|1995-02-14|0
3991716|224911.94|1995-02-24|0
2295777|224897.27|1995-01-16|0
3596290|224893.39|1995-03-08|0
3717922|224884.96|1995-01-30|0
2783653|224880.90|1995-02-04|0
5618279|224858.22|1995-03-06|0
1677286|224836.86|1995-02-21|0
4721955|224771.30|1995-03-01|0
1945440|224686.87|1994-12-29|0
563873|224643.42|1995-02-09|0
5075459|224364.69|1995-03-05|0
3158279|224270.32|1995-01-02|0
2523335|224223.49|1995-03-09|0
1932098|224033.47|1995-02-17|0
1732832|224018.79|1995-02-03|0
4719586|223893.18|1994-12-20|0
5002790|223824.92|1995-02-24|0
1437795|223763.19|1995-02-01|0
3806631|223721.58|1995-03-03|0
4064256|223714.50|1995-03-04|0
5682369|223624.84|1995-03-07|0
2861474|223403.65|1995-02-07|0
5031137|223292.11|1995-02-08|0
2068805|223232.50|1995-02-21|0
5426720|223082.21|1995-03-02|0
4090662|222964.01|1995-02-11|0
3561703|222945.95|1995-03-09|0
2416262|222929.85|1995-02-12|0
1205856|222877.03|1995-02-28|0
5233152|222635.10|1995-03-12|0
105221|222624.53|1995-03-04|0
3333955|222606.87|1995-02-08|0
2585543|222584.24|1995-02-26|0
2789346|222526.57|1995-03-06|0
4502215|222377.19|1995-01-09|0
2387783|222352.31|1995-01-11|0
3785988|222211.30|1995-02-21|0
2604455|222152.44|1995-01-19|0
3302695|222083.26|1995-02-28|0
2634340|222080.55|1995-02-04|0
391719|222079.93|1995-02-24|0
3103809|221982.17|1995-03-08|0
5370497|221980.96|1995-02-17|0
5684257|221980.16|1995-03-03|0
3350724|221963.57|1995-02-02|0
337411|221931.00|1995-03-11|0
3789191|221908.50|1995-02-13|0
5129764|221906.57|1994-12-27|0
3694247|221851.32|1995-01-23|0
4614758|221622.77|1995-02-13|0
1919141|221608.91|1995-02-22|0
1386080|221583.60|1995-03-09|0
3798054|221443.53|1995-02-17|0
3300259|221349.16|1995-03-13|0
3762944|221324.96|1995-02-24|0
742567|221292.02|1995-03-06|0
2146817|221195.28|1995-01-18|0
5517957|221161.83|1995-02-06|0
1476358|221111.54|1995-02-03|0
2510530|221001.67|1995-03-02|0
549890|220985.98|1995-03-04|0
3606561|220831.08|1995-02-26|0
440803|220810.42|1995-02-15|0
137760|220754.14|1995-02-17|0
1190661|220653.35|1995-02-22|0
3543047|220647.27|1995-03-13|0
1019012|220477.79|1995-03-10|0
3388321|220411.73|1995-03-08|0
5117093|220274.51|1995-03-10|0
3680802|220188.38|1995-02-20|0
2738949|220160.96|1995-03-10|0
1807041|219797.98|1995-02-25|0
2732965|219709.67|1995-02-26|0
2331648|219664.07|1995-02-21|0
3644355|219493.04|1995-03-07|0
229506|219455.78|1995-02-21|0
939202|219422.03|1995-02-09|0
5506080|219388.45|1995-03-10|0
4928036|219357.78|1995-03-07|0
3976611|219321.72|1995-01-13|0
198727|219201.38|1995-03-12|0
4606240|219136.89|1995-02-03|0
3603877|219103.96|1995-03-07|0
1684804|218890.13|1995-02-19|0
4898181|218815.32|1995-02-24|0
712100|218765.70|1995-02-19|0
